,K,D,A,Gold,Level,Win,Time_seconds
496,1.0,3.4,2.0,6329.2,11.4,0,701
497,3.4,1.0,9.6,7944.8,12.8,1,701
498,0.4,1.6,0.4,4574.4,9.8,1,600
499,1.6,0.4,4.2,6871.2,12.0,0,600
500,2.2,4.0,4.2,8817.2,14.0,0,972
501,4.0,2.2,10.4,10337.0,14.4,1,972
502,2.8,2.4,7.8,10849.6,15.0,0,1151
503,2.4,2.8,6.2,10704.0,15.0,1,1151
504,1.2,1.8,2.8,8476.0,14.4,0,958
505,1.8,1.2,4.2,9905.4,14.6,1,958
506,2.4,1.0,7.0,10081.0,14.8,1,963
507,1.0,2.4,2.0,8400.6,14.4,0,963
508,1.2,2.8,2.6,18242.2,15.0,0,2010
509,2.8,1.2,8.2,18699.6,15.0,1,2010
510,2.0,0.4,4.8,9179.6,13.8,1,801
511,0.4,2.0,1.2,6730.8,12.4,0,801
512,1.2,0.6,3.4,8809.0,14.4,1,906
513,0.6,1.2,1.8,8521.8,13.8,0,906
514,2.6,1.0,6.2,9445.6,14.6,1,923
515,0.8,2.6,1.4,7639.2,14.2,0,923
516,2.6,2.2,5.6,12307.6,15.0,1,1169
517,1.6,2.6,4.2,10102.8,15.0,0,1169
518,0.4,2.2,1.0,7343.6,13.0,0,840
519,2.2,0.4,5.4,9432.4,14.2,1,840
520,1.6,1.4,4.4,16334.2,15.0,1,1633
521,1.4,1.6,4.6,14215.2,15.0,0,1633
522,5.0,3.8,11.4,18275.2,15.0,1,1919
523,3.8,5.0,9.6,17940.4,15.0,0,1919
524,1.8,1.4,4.6,11511.8,15.0,1,1075
525,1.4,1.8,4.4,9509.0,14.6,0,1075
526,3.2,1.2,10.0,8361.4,13.6,1,757
527,1.2,3.2,2.6,6690.8,12.0,0,757
528,2.0,0.4,4.8,8707.0,14.0,1,817
529,0.4,2.0,1.2,6996.8,12.6,0,817
530,1.2,3.2,2.6,8158.0,13.6,0,912
531,3.2,1.2,7.2,9989.8,14.6,1,912
532,1.8,3.4,4.4,15156.2,15.0,1,1635
533,3.4,1.8,7.8,14704.0,15.0,0,1635
534,1.8,3.4,4.4,15156.2,15.0,1,1120
535,3.4,1.8,7.8,14704.0,15.0,0,1120
536,0.0,1.2,0.0,9859.2,14.8,0,1095
537,1.2,0.0,2.8,12061.8,15.0,1,1055
538,1.4,2.6,4.6,10440.8,15.0,0,1192
539,2.6,1.4,7.8,11936.2,15.0,1,1192
540,0.6,3.2,1.2,7044.4,12.6,0,860
541,3.2,0.6,7.4,9439.8,14.8,1,860
542,2.4,2.8,7.4,10894.4,15.0,1,1202
543,2.8,2.4,7.0,11806.6,15.0,0,1202
544,1.6,1.2,4.2,10887.0,15.0,1,1126
545,1.2,1.6,3.0,10561.6,14.8,0,1126
546,1.6,3.0,3.6,15381.8,15.0,0,1600
547,3.0,1.6,7.0,15654.6,15.0,1,1600
548,0.8,2.4,2.6,5878.0,12.6,0,840
549,2.4,0.8,5.6,9302.6,14.6,1,840
550,1.6,1.8,4.4,8411.6,14.2,0,971
551,1.8,1.6,6.0,9302.2,14.6,1,971
552,1.4,0.6,4.0,10020.6,14.8,1,946
553,0.6,1.4,1.2,8424.6,14.4,0,946
554,2.4,2.0,6.4,10281.4,14.6,1,933
555,2.0,2.4,5.6,8386.0,13.8,0,933
556,0.2,1.4,0.2,7787.2,13.6,0,902
557,1.4,0.2,4.2,9737.2,14.8,1,902
558,1.6,1.4,4.2,9748.0,14.4,1,917
559,0.2,1.6,3.8,8187.8,14.0,0,917
560,3.8,0.8,8.8,10603.4,14.2,1,867
561,0.8,3.8,1.8,7120.8,13.0,0,867
562,4.8,3.4,9.8,21685.8,15.0,1,2071
563,3.4,4.8,5.8,20372.2,15.0,0,2071
564,1.4,0.8,2.4,11570.8,15.0,1,1066
565,0.8,1.4,1.8,9268.4,14.8,0,1066
566,2.4,2.2,5.8,12638.6,15.0,1,1213
567,2.2,2.4,6.0,11597.6,15.0,0,1213
568,2.6,1.6,6.8,8991.8,14.6,1,910
569,1.2,2.6,2.8,7669.4,14.0,0,910
570,1.2,3.2,3.0,11791.8,15.0,0,1330
571,3.2,1.2,8.2,12921.0,15.0,1,1330
572,2.6,0.8,4.8,11824.0,15.0,1,1082
573,0.8,2.6,2.0,9145.6,15.0,0,1082
574,0.6,2.8,1.4,7882.0,13.8,0,919
575,2.8,0.6,5.8,10303.6,14.8,1,919
576,3.0,1.2,5.8,10477.8,14.8,1,1040
577,1.2,3.0,3.0,9108.2,14.6,0,1040
578,1.0,1.8,2.6,7894.2,13.4,0,888
579,1.8,1.0,4.4,9145.8,14.6,1,888
580,1.4,2.6,3.8,8878.4,14.8,0,1000
581,2.6,1.4,8.8,9631.2,14.8,1,1000
582,1.2,3.4,3.4,11567.4,15.0,0,1366
583,3.4,1.2,5.8,12746.2,15.0,1,1366
584,0.8,3.4,1.8,6158.4,12.0,0,767
585,3.4,0.8,10.4,8631.2,14.2,1,767
586,0.4,2.8,1.4,7452.6,13.2,0,884
587,2.8,0.8,7.4,9998.0,14.8,1,884
588,3.2,2.2,7.6,14435.0,15.0,1,1293
589,2.2,3.2,7.0,12095.8,15.0,0,1293
